Season,Team,Promoted,Relegated,Division,Played,Won,Drew,Lost,For,Against,Points,League Position,TeamsInTopLeague,OverallPosition,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,HomeLeagueGamesPlayed,HomeLeagueGameResult,HomeLeagueGoalsForHeadToHead,HomeLeagueGoalsAgainstHeadToHead,HomeLeagueWinsHeadToHead,HomeLeagueDrawsHeadToHead,HomeLeagueLostHeadToHead,AwayLeagueGamesPlayed,AwayLeagueGameResult,AwayLeagueGoalsForHeadToHead,AwayLeagueGoalsAgainstHeadToHead,AwayLeagueWinsHeadToHead,AwayLeagueDrawsHeadToHead,AwayLeagueLostHeadToHead,TotalLeaguePlayedHeadToHead,TotalLeagueWonHeadToHead,TotalLeagueDrawHeadToHead,TotalLeagueLostHeadToHead,TotalLeagueGoalsForHeadToHead,TotalLeagueGoalsAgainstHeadToHead,TotalLeaguePointsHeadToHead,HomeCupGamesPlayed,HomeCupGameResult,HomeCupGoalsForHeadToHead,HomeCupGoalsAgainstHeadToHead,HomeCupWinsHeadToHead,HomeCupDrawsHeadToHead,HomeCupLostHeadToHead,AwayCupGamesPlayed,AwayCup GameResult,AwayCupGoalsForHeadToHead,AwayCupGoalsAgainstHeadToHead,AwayCupWinsHeadToHead,AwayCupDrawsHeadToHead,AwayCupLostHeadToHead,NeutralCupGamesPlayed,NeutralCupGameResult,NeutralCupGoalsForHeadToHead,NeutralCupGoalsAgainstHeadToHead,NeutralCupWinsHeadToHead,NeutralCupDrawsHeadToHead,NeutralCupLostHeadToHead,TotalCupPlayedHeadToHead,TotalCupWonHeadToHead,TotalCupDrawHeadToHead,TotalCupLostHeadToHead,TotalCupGoalsForHeadToHead,TotalCupGoalsAgainstHeadToHead,TotalAllPlayedHeadToHead,TotalAllWonHeadToHead,TotalAllDrawHeadToHead,TotalAllLostHeadToHead,TotalAllGoalsForHeadToHead,TotalAllGoalsAgainstHeadToHead
1926,Liverpool,,,Division 1,42,14,16,12,70,63,44,7,22,7,R4,—,—,—,—,—,—,—,1,5–0,5,0,1,,,1,3–3,3,3,,1,,2,1,1,0,8,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,8,3
1927,Liverpool,,,Division 1,42,18,7,17,69,61,43,9,22,9,R5,—,—,—,—,—,—,—,1,4–2,4,2,1,,,1,1-0,1,0,1,,,2,2,0,0,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,5,2
1928,Liverpool,,,Division 1,42,13,13,16,84,87,39,16,22,16,R4,—,—,—,—,—,—,—,1,2–0,2,0,1,,,1,1-6,1,6,,,1,2,1,0,1,3,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,3,6
1929,Liverpool,,,Division 1,42,17,12,13,90,64,46,4,22,4,R4,—,—,—,—,—,—,—,1,2–3,2,3,,,1,1,2–2,2,2,,1,,2,0,1,1,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,4,5
1930,Liverpool,,,Division 1,42,16,9,17,63,79,41,12,22,12,R3,—,—,—,—,—,—,—,1,1–0,1,0,1,,,1,2-1,2,1,1,,,2,2,0,0,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,3,1
1931,Liverpool,,,Division 1,42,15,12,15,86,85,42,9,22,9,R3,—,—,—,—,—,—,—,1,1–1,1,1,,1,,1,1-4,1,4,,,1,2,0,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,2,5
1932,Liverpool,,,Division 1,42,19,6,17,81,93,44,10,22,10,QF,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,Liverpool,,,Division 1,42,14,11,17,79,84,39,14,22,14,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,Liverpool,,,Division 1,42,14,10,18,79,87,38,18,22,18,R5,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935,Liverpool,,,Division 1,42,19,7,16,85,88,45,7,22,7,R4,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,Liverpool,,,Division 1,42,13,12,17,60,64,38,19,22,19,R3,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937,Liverpool,,,Division 1,42,12,11,19,62,84,35,18,22,18,R3,—,—,—,—,—,—,—,1,2–0,2,0,1,,,1,5-2,5,2,1,,,2,2,0,0,7,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,7,2
1938,Liverpool,,,Division 1,42,15,11,16,65,71,41,11,22,11,R5,—,—,—,—,—,—,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939,Liverpool,,,Division 1,42,14,14,14,62,63,42,11,22,11,R5,—,—,—,—,—,—,—,1,1–0,1,0,1,,,1,0-2,0,2,,,1,2,1,0,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,2
1947,Liverpool,,,Division 1,42,25,7,10,84,52,57,1,22,1,SF,—,—,—,—,—,—,—,1,1–0,1,0,1,,,1,0-5,0,5,,,1,2,1,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,1,5
1948,Liverpool,,,Division 1,42,16,10,16,65,61,42,11,22,11,R5,—,—,—,—,—,—,—,1,2–2,2,2,,1,,1,0-2,0,2,,,1,2,0,1,1,2,4,1,,,,,,,,,,,,,,,1,0-3,0,3,,,1,1,,,1,0,3,3,0,1,2,2,7
1949,Liverpool,,,Division 1,42,13,14,15,53,43,40,12,22,12,R5,—,—,—,—,—,—,—,1,0–2,0,2,,,1,1,0–0,0,0,,1,,2,0,1,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,2
1950,Liverpool,,,Division 1,42,17,14,11,64,54,48,8,22,8,RU,—,—,—,—,—,—,—,1,1–1,1,1,,1,,1,0–0,0,0,,1,,2,0,2,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,1
1951,Liverpool,,,Division 1,42,16,11,15,53,59,43,9,22,9,R3,—,—,—,—,—,—,—,1,2–1,2,1,1,,,1,0-1,0,1,,,1,2,1,0,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,2,2
1952,Liverpool,,,Division 1,42,12,19,11,57,61,43,11,22,11,R5,—,—,—,—,—,—,—,1,0–0,0,0,,1,,1,0-4,0,4,,,1,2,0,1,1,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0,4
1953,Liverpool,,,Division 1,42,14,8,20,61,82,36,17,22,17,R3,—,—,—,—,—,—,—,1,1–2,1,2,,,1,1,1-3,1,3,,,1,2,0,0,2,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,5
1954,Liverpool,,Y,Division 1,42,9,10,23,68,97,28,22,22,22,R3,—,—,—,—,—,—,—,1,4–4,4,4,,1,,1,1-5,1,5,,,1,2,0,1,1,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,1,5,9
