Team,Season,Division,Played,Won,Drew,Lost,For,Against,Points,Position,FA Cup,League Cup,Community Shield,Champions League,Europa League,Cup Winners’ Cup,Super Cup,Club World Cup,Top Scorer,Goals
Manchester United,1985–86,Div 1,42,22,10,10,70,36,76,4th,R5,R4,Runners-up,,,,,,Mark Hughes,18
Manchester United,1986–87,Div 1,42,14,14,14,52,45,56,11th,R4,R3,,,,,,,Peter Davenport,16
Manchester United,1987–88,Div 1,40,23,12,5,71,38,81,2nd,R5,R5,,,,,,,Brian McClair,31
Manchester United,1988–89,Div 1,38,13,12,13,45,35,51,11th,R6,R3,,,,,,,"Mark Hughes
Brian McClair",16
Manchester United,1989–90,Div 1,38,13,9,16,46,47,48,13th,W,R3,,,,,,,Mark Hughes,15
Manchester United,1990–91,Div 1,38,16,12,10,58,45,5 [24,6th,R5,Runners-up,Share [20,,,W,,,"Mark Hughes
Brian McClair",21
Manchester United,1991–92,Div 1,42,21,15,6,63,33,78,2nd,R4,W,,"Cup Winners' Cup – R2
		",,W,,,Brian McClair,24
Manchester United,1992–93,Prem,42,24,12,6,67,31,84,1st,R5,R3,,UEFA Cup – R1,,,,,Mark Hughes,16
Manchester United,1993–94,Prem,42,27,11,4,80,38,92,1st,W,Runners-up,W,Champions League – R2,,,,,Eric Cantona,25
Manchester United,1994–95,Prem,42,26,10,6,77,28,88,2nd,Runners-up,R3,W,Champions League – Group,,,,,Andrei Kanchelskis,15
Manchester United,1995–96,Prem,38,25,7,6,73,35,82,1st,W,R2,,UEFA Cup – R1,,,,,Eric Cantona,19
Manchester United,1996–97,Prem,38,21,12,5,76,44,75,1st,R4,R4,W,Champions League – SF,,,,,Ole Gunnar Solskjær,19
Manchester United,1997–98,Prem,38,23,8,7,73,26,77,2nd,R5,R3,W,Champions League – QF,,,,,Andy Cole,25
Manchester United,1998–99,Prem,38,22,13,3,80,37,79,1st,W,R5,Runners-up,W,,,,,Dwight York [25,2 [26
Manchester United,1999–2000,Prem,38,28,7,3,97,45,91,1st,n/ [27,R3,Runners-up,"Champions League – QF
		Super Cup – Runners-up 
		 
		Club World Championship – Group",,,,W,Dwight Yorke,24
Manchester United,2000–01,Prem,38,24,8,6,79,31,80,1st,R4,R4,Runners-up,Champions League – QF,,,,,Teddy Sheringham,21
Manchester United,2001–02,Prem,38,24,5,9,87,45,77,3rd,R4,R3,Runners-up,Champions League – SF,,,,,Ruud van Nistelrooy,36
Manchester United,2002–03,Prem,38,25,8,5,74,34,83,1st,R5,Runners-up,,Champions League – QF,,,,,Ruud van Nistelrooy,4 [28
Manchester United,2003–04,Prem,38,23,6,9,64,35,75,3rd,W,R4,W,Champions League – Round of 16,,,,,Ruud van Nistelrooy,30
Manchester United,2004–05,Prem,38,22,11,5,58,26,77,3rd,Runners-up,SF,Runners-up,Champions League – Round of 16,,,,,Wayne Rooney,17
Manchester United,2005–06,Prem,38,25,8,5,72,34,83,2nd,R5,W,,Champions League – Group,,,,,Ruud van Nistelrooy,24
Manchester United,2006–07,Prem,38,28,5,5,83,27,89,1st,Runners-up,R4,,Champions League – SF,,,,,"Wayne Rooney
Cristiano Ronaldo",23
Manchester United,2007–08,Prem,38,27,6,5,80,22,87,1st,R6,R3,W,W,,,,,Cristiano Ronaldo,4 [29
Manchester United,2008–09,Prem,38,28,6,4,68,24,90,1st,SF,W,Winners,"Champions League – Runners-up 
		Super Cup – Runners-up 
		",,,,W,Cristiano Ronaldo,26
Manchester United,2009–10,Prem,38,27,4,7,86,28,85,2nd,R3,W,Runners-up,Champions League – QF,,,,,Wayne Rooney,34
Manchester United,2010–11,Prem,38,23,11,4,78,37,80,1st,SF,R5,W,Champions League – Runners-up,,,,,Dimitar Berbato [30,2 [31
Manchester United,2011–12,Prem,38,28,5,5,89,33,89,2nd,R4,R5,W,"Champions League – Group
		Europa League – Round of 16",,,,,Wayne Rooney,34
Manchester United,2012–13,Prem,38,28,5,5,86,43,89,1st,R6,R4,,Champions League – Round of 16,,,,,Robin van Persie,3 [32
Manchester United,2013–14,Prem,38,19,7,12,64,43,64,7th,R3,SF,W,Champions League – QF,,,,,Wayne Rooney,19
Manchester United,2014–15,Prem,38,20,10,8,62,37,70,4th,R6,R2,,,,,,,Wayne Rooney,14
Manchester United,2015–16,Prem,38,19,9,10,49,35,66,5th,W,R4,,"Champions League – Group
		Europa League – Round of 16",,,,,Anthony Martial,17
